,title,author,task 1,task 2,task 3,github,stars
179,DR Loss: Improving Object Detection by Distributional Ranking,Qi Qian,object-detection,,,https://github.com/idstcv/DR_loss,71
180,DeepEMD: Few-Shot Image Classification With Differentiable Earth Mover's Distance and Structured Classifiers,Chi Zhang,few-shot-learning,meta-learning,image-classification,https://github.com/icoz69/DeepEMD,71
181,Cascaded Deep Video Deblurring Using Temporal Sharpness Prior,Jinshan Pan,deblurring,optical-flow-estimation,,https://github.com/csbhr/CDVD-TSP,71
182,Learning a Neural Solver for Multiple Object Tracking,Guillem Braso,motion-compensation,motion-prediction,multi-object-tracking,https://github.com/dvl-tum/mot_neural_solver,70
183,ZeroQ: A Novel Zero Shot Quantization Framework,Yaohui Cai,quantization,,,https://github.com/amirgholami/ZeroQ,69
184,Lightweight Photometric Stereo for Facial Details Recovery,Xueying Wang,3d-face-reconstruction,data-augmentation,face-reconstruction,https://github.com/Juyong/FacePSNet,69
185,AdaCoF: Adaptive Collaboration of Flows for Video Frame Interpolation,Hyeongmin Lee,video-frame-interpolation,,,https://github.com/HyeongminLEE/AdaCoF-pytorch,69
186,Weakly-Supervised Action Localization by Generative Attention Modeling,Baifeng Shi,action-localization,action-recognition,weakly-supervised-action-localization,https://github.com/bfshi/DGAM-Weakly-Supervised-Action-Localization,68
187,PPDM: Parallel Point Detection and Matching for Real-Time Human-Object Interaction Detection,Yue Liao,human-object-interaction-detection,object-detection,,https://github.com/YueLiao/PPDM,68
188,STEFANN: Scene Text Editor Using Font Adaptive Neural Network,Prasun Roy,scene-text,scene-text-editing,,https://github.com/prasunroy/stefann,67
189,Central Similarity Quantization for Efficient Image and Video Retrieval,Li Yuan,quantization,video-retrieval,,https://github.com/yuanli2333/Hadamard-Matrix-for-hashing,66
190,FPConv: Learning Local Flattening for Point Convolution,Yiqun Lin,3d-object-classification,object-classification,scene-segmentation,https://github.com/lyqun/FPConv,66
191,PointAugment: An Auto-Augmentation Framework for Point Cloud Classification,Ruihui Li,,,,https://github.com/liruihui/PointAugment,66
192,Reusing Discriminators for Encoding: Towards Unsupervised Image-to-Image Translation,Runfa Chen,image-to-image-translation,unsupervised-image-to-image-translation,,https://github.com/alpc91/NICE-GAN,66
193,"Instance-Aware, Context-Focused, and Memory-Efficient Weakly Supervised Object Detection",Zhongzheng Ren,object-detection,video-object-detection,weakly-supervised-object-detection,https://github.com/NVlabs/wetectron,66
194,Neural Architecture Search for Lightweight Non-Local Networks,Yingwei Li,image-classification,architecture-search,,https://github.com/LiYingwei/AutoNL,66
195,RPM-Net: Robust Point Matching Using Learned Features,Zi Jian Yew,point-cloud-registration,,,https://github.com/yewzijian/RPMNet,65
196,Dynamic Hierarchical Mimicking Towards Consistent Optimization Objectives,Duo Li,,,,https://github.com/d-li14/DHM,65
197,DMCP: Differentiable Markov Channel Pruning for Neural Networks,Shaopeng Guo,,,,https://github.com/Zx55/dmcp,65
198,DeepDeform: Learning Non-Rigid RGB-D Reconstruction With Semi-Supervised Data,Aljaz Bozic,3d-reconstruction,,,https://github.com/AljazBozic/DeepDeform,64
199,Hit-Detector: Hierarchical Trinity Architecture Search for Object Detection,Jianyuan Guo,image-classification,architecture-search,object-detection,https://github.com/ggjy/HitDet.pytorch,63
200,Compressed Volumetric Heatmaps for Multi-Person 3D Pose Estimation,Matteo Fabbri,3d-human-pose-estimation,3d-pose-estimation,pose-estimation,https://github.com/fabbrimatteo/LoCO,62
201,High-Performance Long-Term Tracking With Meta-Updater,Kenan Dai,visual-tracking,,,https://github.com/Daikenan/LTMU,62
202,"Correlating Edge, Pose With Parsing",Ziwei Zhang,human-parsing,,,https://github.com/ziwei-zh/CorrPM,61
203,Overcoming Classifier Imbalance for Long-Tail Object Detection With Balanced Group Softmax,Yu Li,image-classification,instance-segmentation,object-detection,https://github.com/FishYuLi/BalancedGroupSoftmax,61
204,Towards Efficient Model Compression via Learned Global Ranking,Ting-Wu Chin,model-compression,,,https://github.com/cmu-enyac/LeGR,60
205,Learning Fast and Robust Target Models for Video Object Segmentation,Andreas Robinson,semantic-segmentation,video-object-segmentation,video-semantic-segmentation,https://github.com/andr345/frtm-vos,60
206,In Defense of Grid Features for Visual Question Answering,Huaizu Jiang,image-captioning,question-answering,visual-question-answering,https://github.com/facebookresearch/grid-feats-vqa,59
207,Rethinking Zero-Shot Video Classification: End-to-End Training for Realistic Applications,Biagio Brattoli,video-classification,zero-shot-learning,,https://github.com/bbrattoli/ZeroShotVideoClassification,59
208,SG-NN: Sparse Generative Neural Networks for Self-Supervised Scene Completion of RGB-D Scans,Angela Dai,,,,https://github.com/angeladai/sgnn,59
209,GLU-Net: Global-Local Universal Network for Dense Flow and Correspondences,Prune Truong,optical-flow-estimation,,,https://github.com/PruneTruong/GLU-Net,59
210,Cascaded Human-Object Interaction Recognition,Tianfei Zhou,human-object-interaction-detection,,,https://github.com/tfzhou/C-HOI,58
211,Gate-Shift Networks for Video Action Recognition,Swathikiran Sudhakaran,action-recognition-in-videos,,,https://github.com/swathikirans/GSM,58
212,Fast-MVSNet: Sparse-to-Dense Multi-View Stereo With Learned Propagation and Gauss-Newton Refinement,Zehao Yu,depth-estimation,,,https://github.com/svip-lab/FastMVSNet,58
213,Graph-Structured Referring Expression Reasoning in the Wild,Sibei Yang,representation-learning,,,https://github.com/sibeiyang/sgmn,58
214,MotionNet: Joint Perception and Motion Prediction for Autonomous Driving Based on Bird's Eye View Maps,Pengxiang Wu,3d-object-detection,autonomous-driving,motion-prediction,https://github.com/pxiangwu/MotionNet,58
215,Editing in Style: Uncovering the Local Semantics of GANs,Edo Collins,image-generation,,,https://github.com/IVRL/GANLocalEditing,58
216,TubeTK: Adopting Tubes to Track Multi-Object in a One-Step Training Model,Bo Pang,multi-object-tracking,object-detection,object-tracking,https://github.com/BoPang1996/TubeTK,58
217,Neural Cages for Detail-Preserving 3D Deformations,Wang Yifan,,,,https://github.com/yifita/deep_cage,56
218,Image2StyleGAN++: How to Edit the Embedded Images?,Rameen Abdal,image-inpainting,image-reconstruction,style-transfer,https://github.com/pacifinapacific/StyleGAN_LatentEditor,56
219,Say As You Wish: Fine-Grained Control of Image Caption Generation With Abstract Scene Graphs,Shizhe Chen,image-captioning,,,https://github.com/cshizhe/asg2cap,56
220,DSNAS: Direct Neural Architecture Search Without Parameter Retraining,Shoukang Hu,architecture-search,,,https://github.com/SNAS-Series/SNAS-Series,56
221,P2B: Point-to-Box Network for 3D Object Tracking in Point Clouds,Haozhe Qi,object-tracking,,,https://github.com/HaozheQi/P2B,55
222,DPGN: Distribution Propagation Graph Network for Few-Shot Learning,Ling Yang,few-shot-learning,meta-learning,,https://github.com/megvii-research/DPGN,54
223,Collaborative Distillation for Ultra-Resolution Universal Style Transfer,Huan Wang,style-transfer,,,https://github.com/mingsun-tse/collaborative-distillation,53
224,Siamese Box Adaptive Network for Visual Tracking,Zedu Chen,visual-tracking,,,https://github.com/hqucv/siamban,53
225,Temporally Distributed Networks for Fast Video Semantic Segmentation,Ping Hu,real-time-semantic-segmentation,semantic-segmentation,video-semantic-segmentation,https://github.com/feinanshan/TDNet,53
226,Learning to Transfer Texture From Clothing Images to 3D Humans,Aymen Mir,image-to-image-translation,virtual-try-on,,https://github.com/aymenmir1/pix2surf,53
227,Implicit Functions in Feature Space for 3D Shape Reconstruction and Completion,Julian Chibane,3d-object-reconstruction,3d-reconstruction,3d-shape-reconstruction,https://github.com/jchibane/if-net,52
228,ScopeFlow: Dynamic Scene Scoping for Optical Flow,Aviram Bar-Haim,optical-flow-estimation,,,https://github.com/avirambh/ScopeFlow,52
229,Quasi-Newton Solver for Robust Non-Rigid Registration,Yuxin Yao,,,,https://github.com/Juyong/Fast_RNRR,52
230,Rethinking Depthwise Separable Convolutions: How Intra-Kernel Correlations Lead to Improved MobileNets,Daniel Haase,,,,https://github.com/zeiss-microscopy/BSConv,51
231,Watch Your Up-Convolution: CNN Based Generative Deep Neural Networks Are Failing to Reproduce Spectral Distributions,Ricard Durall,,,,https://github.com/cc-hpc-itwm/UpConv,51
232,Learning Video Object Segmentation From Unlabeled Videos,Xiankai Lu,depth-estimation,optical-flow-estimation,scene-flow-estimation,https://github.com/carrierlxk/MuG,51
233,FeatureFlow: Robust Video Interpolation via Structure-to-Texture Generation,Shurui Gui,optical-flow-estimation,texture-synthesis,,https://github.com/CM-BF/FeatureFlow,51
234,Relation-Aware Global Attention for Person Re-Identification,Zhizheng Zhang,image-classification,person-re-identification,scene-segmentation,https://github.com/microsoft/Relation-Aware-Global-Attention-Networks,50
235,Bi3D: Stereo Depth Estimation via Binary Classifications,Abhishek Badki,autonomous-navigation,depth-estimation,quantization,https://github.com/NVlabs/Bi3D,50
236,Detailed 2D-3D Joint Representation for Human-Object Interaction,Yong-Lu Li,human-object-interaction-detection,representation-learning,,https://github.com/DirtyHarryLYL/DJ-RN,50
237,Learning by Analogy: Reliable Supervision From Transformations for Unsupervised Optical Flow Estimation,Liang Liu,optical-flow-estimation,self-supervised-learning,,https://github.com/lliuz/ARFlow,49
238,Supervised Raw Video Denoising With a Benchmark Dataset on Dynamic Scenes,Huanjing Yue,denoising,image-denoising,video-denoising,https://github.com/cao-cong/RViDeNet,49
239,Zero-Reference Deep Curve Estimation for Low-Light Image Enhancement,Chunle Guo,face-detection,image-enhancement,low-light-image-enhancement,https://github.com/Li-Chongyi/Zero-DCE,49
240,D2Det: Towards High Quality Object Detection and Instance Segmentation,Jiale Cao,instance-segmentation,object-detection,semantic-segmentation,https://github.com/JialeCao001/D2Det,49
241,Generating 3D People in Scenes Without People,Yan Zhang,pose-estimation,,,https://github.com/yz-cnsdqz/PSI-release,48
242,Global-Local Bidirectional Reasoning for Unsupervised Representation Learning of 3D Point Clouds,Yongming Rao,3d-object-classification,object-classification,representation-learning,https://github.com/raoyongming/PointGLR,48
243,What's Hidden in a Randomly Weighted Neural Network?,Vivek Ramanujan,image-classification,,,https://github.com/allenai/hidden-networks,47
244,DualConvMesh-Net: Joint Geodesic and Euclidean Convolutions on 3D Meshes,Jonas Schult,3d-semantic-segmentation,scene-segmentation,semantic-segmentation,https://github.com/VisualComputingInstitute/dcm-net,47
245,Iterative Answer Prediction With Pointer-Augmented Multimodal Transformers for TextVQA,Ronghang Hu,,,,https://github.com/xinke-wang/Awesome-Text-VQA,46
246,"On the General Value of Evidence, and Bilingual Scene-Text Visual Question Answering",Xinyu Wang,question-answering,scene-text,visual-question-answering,https://github.com/xinke-wang/Awesome-Text-VQA,46
247,A Morphable Face Albedo Model,William A. P. Smith,3d-reconstruction,face-alignment,image-generation,https://github.com/waps101/AlbedoMM,46
248,Collaborative Motion Prediction via Neural Motion Message Passing,Yue Hu,autonomous-vehicles,motion-prediction,,https://github.com/PhyllisH/NMMP,46
249,G-TAD: Sub-Graph Localization for Temporal Action Detection,Mengmeng Xu,action-detection,action-recognition,temporal-action-proposal-generation,https://github.com/Frostinassiky/gtad,46
250,KeypointNet: A Large-Scale 3D Keypoint Dataset Aggregated From Numerous Human Annotations,Yang You,,,,https://github.com/qq456cvb/KeypointNet,45
251,LiDAR-Based Online 3D Video Object Detection With Graph-Based Message Passing and Spatiotemporal Transformer Attention,Junbo Yin,object-detection,video-object-detection,,https://github.com/yinjunbo/3DVID,44
252,Probabilistic Pixel-Adaptive Refinement Networks,Anne S. Wannenwetsch,optical-flow-estimation,semantic-segmentation,,https://github.com/visinf/ppac_refinement,44
253,Deep White-Balance Editing,Mahmoud Afifi,,,,https://github.com/mahmoudnafifi/WB_color_augmenter,44
254,G2L-Net: Global to Local Network for Real-Time 6D Pose Estimation With Embedding Vector Features,Wei Chen,6d-pose-estimation-1,6d-pose-estimation,pose-estimation,https://github.com/DC1991/G2L_Net,44
255,PADS: Policy-Adapted Sampling for Visual Similarity Learning,Karsten Roth,,,,https://github.com/Confusezius/CVPR2020_PADS,44
256,VSGNet: Spatial Attention Network for Detecting Human Object Interactions Using Graph Convolutions,Oytun Ulutan,human-object-interaction-detection,,,https://github.com/ASMIftekhar/VSGNet,44
257,DualSDF: Semantic Shape Manipulation Using a Two-Level Representation,Zekun Hao,,,,https://github.com/zekunhao1995/DualSDF,43
258,End-to-End Learning of Visual Representations From Uncurated Instructional Videos,Antoine Miech,action-localization,action-segmentation,video-retrieval,https://github.com/antoine77340/S3D_HowTo100M,43
259,Towards High-Fidelity 3D Face Reconstruction From In-the-Wild Images Using Graph Convolutional Networks,Jiangke Lin,3d-face-reconstruction,face-reconstruction,,https://github.com/FuxiCV/3D-Face-GCNs,43
260,ViewAL: Active Learning With Viewpoint Entropy for Semantic Segmentation,Yawar Siddiqui,active-learning,semantic-segmentation,,https://github.com/nihalsid/ViewAL,42
261,DeepFaceFlow: In-the-Wild Dense 3D Facial Motion Estimation,Mohammad Rami Koujan,3d-reconstruction,facial-expression-recognition,motion-capture,https://github.com/mrkoujan/DeepFaceFlow,42
262,Detecting Attended Visual Targets in Video,Eunji Chong,deep-attention,,,https://github.com/ejcgt/attention-target-detection,42
263,Fine-Grained Video-Text Retrieval With Hierarchical Graph Reasoning,Shizhe Chen,cross-modal-retrieval,image-retrieval,structured-prediction,https://github.com/cshizhe/hgr_v2t,42
264,LatentFusion: End-to-End Differentiable Reconstruction and Rendering for Unseen Object Pose Estimation,Keunhong Park,6d-pose-estimation-1,6d-pose-estimation,pose-estimation,https://github.com/NVlabs/latentfusion,42
265,A Unified Object Motion and Affinity Model for Online Multi-Object Tracking,Junbo Yin,metric-learning,multi-object-tracking,multi-task-learning,https://github.com/yinjunbo/UMA-MOT,41
266,Multi-Task Collaborative Network for Joint Referring Expression Comprehension and Segmentation,Gen Luo,,,,https://github.com/luogen1996/MCN,41
267,Inter-Region Affinity Distillation for Road Marking Segmentation,Yuenan Hou,,,,https://github.com/cardwing/Codes-for-IntRA-KD,41
268,ALFRED: A Benchmark for Interpreting Grounded Instructions for Everyday Tasks,Mohit Shridhar,,,,https://github.com/askforalfred/alfred,41
269,Video Panoptic Segmentation,Dahun Kim,instance-segmentation,panoptic-segmentation,semantic-segmentation,https://github.com/mcahny/vps,40
270,"Show, Edit and Tell: A Framework for Editing Image Captions",Fawaz Sammani,denoising,image-captioning,,https://github.com/fawazsammani/show-edit-tell,40
271,Oops! Predicting Unintentional Action in Video,Dave Epstein,,,,https://github.com/cvlab-columbia/oops,40
272,BachGAN: High-Resolution Image Synthesis From Salient Object Layout,Yandong Li,image-generation,,,https://github.com/Cold-Winter/BachGAN,40
273,Cross-Domain Correspondence Learning for Exemplar-Based Image Translation,Pan Zhang,image-to-image-translation,,,https://github.com/microsoft/CoCosNet,39
274,Pose-Guided Visible Part Matching for Occluded Person ReID,Shang Gao,graph-matching,person-re-identification,,https://github.com/hh23333/PVPM,39
275,Video Object Grounding Using Semantic Roles in Language Description,Arka Sadhu,,,,https://github.com/TheShadow29/vognet-pytorch,39
276,Agriculture-Vision: A Large Aerial Image Database for Agricultural Pattern Analysis,Mang Tik Chiu,semantic-segmentation,,,https://github.com/SHI-Labs/Agriculture-Vision,39
277,Exploring Categorical Regularization for Domain Adaptive Object Detection,Chang-Dong Xu,domain-adaptation,object-detection,,https://github.com/Megvii-Nanjing/CR-DA-DET,39
278,Auto-Encoding Twin-Bottleneck Hashing,Yuming Shen,graph-construction,,,https://github.com/ymcidence/TBH,38
279,"Transferable, Controllable, and Inconspicuous Adversarial Attacks on Person Re-identification With Deep Mis-Ranking",Hongjun Wang,person-re-identification,representation-learning,,https://github.com/whj363636/Adversarial-attack-on-Person-ReID-With-Deep-Mis-Ranking,38
280,Adversarial Robustness: From Self-Supervised Pre-Training to Fine-Tuning,Tianlong Chen,,,,https://github.com/TAMU-VITA/Adv-SS-Pretraining,38
281,Cross-Batch Memory for Embedding Learning,Xun Wang,image-retrieval,metric-learning,,https://github.com/MalongTech/research-xbm,38
282,High-Order Information Matters: Learning Relation and Topology for Occluded Person Re-Identification,Guan'an Wang,graph-matching,person-re-identification,,https://github.com/wangguanan/HOReID,37
283,High-Frequency Component Helps Explain the Generalization of Convolutional Neural Networks,Haohan Wang,adversarial-attack,,,https://github.com/HaohanWang/HFC,37
284,Neural Contours: Learning to Draw Lines From 3D Shapes,Difan Liu,,,,https://github.com/DifanLiu/NeuralContours,37
285,There and Back Again: Revisiting Backpropagation Saliency Methods,Sylvestre-Alvise Rebuffi,meta-learning,,,https://github.com/srebuffi/revisiting_saliency,36
286,ManiGAN: Text-Guided Image Manipulation,Bowen Li,,,,https://github.com/mrlibw/ManiGAN,36
287,When NAS Meets Robustness: In Search of Robust Architectures Against Adversarial Attacks,Minghao Guo,architecture-search,,,https://github.com/gmh14/RobNets,36
288,Listen to Look: Action Recognition by Previewing Audio,Ruohan Gao,,,,https://github.com/facebookresearch/Listen-to-Look,36
289,iTAML: An Incremental Task-Agnostic Meta-learning Approach,Jathushan Rajasegaran,meta-learning,,,https://github.com/brjathu/iTAML,36
290,Weakly Supervised Discriminative Feature Learning With State Information for Person Identification,Hong-Xing Yu,face-recognition,person-identification,person-re-identification,https://github.com/KovenYu/state-information,36
291,Towards Learning a Generic Agent for Vision-and-Language Navigation via Pre-Training,Weituo Hao,self-supervised-learning,visual-navigation,,https://github.com/weituo12321/PREVALENT,35
292,Single-Side Domain Generalization for Face Anti-Spoofing,Yunpei Jia,domain-generalization,face-anti-spoofing,,https://github.com/taylover-pei/SSDG-CVPR2020,35
293,Learning Unsupervised Hierarchical Part Decomposition of 3D Objects From a Single RGB Image,Despoina Paschalidou,3d-reconstruction,,,https://github.com/paschalidoud/hierarchical_primitives,35
294,Unsupervised Learning of Intrinsic Structural Representation Points,Nenglun Chen,,,,https://github.com/NolenChen/3DStructurePoints,35
295,Hierarchical Conditional Relation Networks for Video Question Answering,Thao Minh Le,question-answering,video-question-answering,visual-question-answering,https://github.com/thaolmk54/hcrn-videoqa,34
296,DeepLPF: Deep Local Parametric Filters for Image Enhancement,Sean Moran,image-enhancement,,,https://github.com/sjmoran/deep_local_parametric_filters,34
297,GraphTER: Unsupervised Learning of Graph Transformation Equivariant Representations via Auto-Encoding Node-Wise Transformations,Xiang Gao,,,,https://github.com/gyshgx868/graph-ter,34
298,Weakly-Supervised Salient Object Detection via Scribble Annotations,Jing Zhang,edge-detection,object-detection,salient-object-detection,https://github.com/JingZhang617/Scribble_Saliency,34
299,Local Class-Specific and Global Image-Level Generative Adversarial Networks for Semantic-Guided Scene Generation,Hao Tang,bird-view-synthesis,cross-view-image-to-image-translation,image-to-image-translation,https://github.com/Ha0Tang/LGGAN,34
300,Cross-Domain Detection via Graph-Induced Prototype Alignment,Minghao Xu,domain-adaptation,object-detection,,https://github.com/ChrisAllenMing/GPA-detection,34
301,Something-Else: Compositional Action Recognition With Spatial-Temporal Interaction Networks,Joanna Materzynska,,,,https://github.com/joaanna/something_else,33
302,3D-MPA: Multi-Proposal Aggregation for 3D Semantic Instance Segmentation,Francis Engelmann,3d-instance-segmentation-1,3d-object-detection,3d-semantic-instance-segmentation,https://github.com/francisengelmann/3D-MPA,33
303,MTL-NAS: Task-Agnostic Neural Architecture Search Towards General-Purpose Multi-Task Learning,Yuan Gao,multi-task-learning,architecture-search,,https://github.com/bhpfelix/MTLNAS,33
304,M2m: Imbalanced Classification via Major-to-Minor Translation,Jaehyung Kim,,,,https://github.com/alinlab/M2m,33
305,A Disentangling Invertible Interpretation Network for Explaining Latent Representations,Patrick Esser,image-generation,,,https://github.com/CompVis/iin,33
306,"TailorNet: Predicting Clothing in 3D as a Function of Human Pose, Shape and Garment Style",Chaitanya Patel,,,,https://github.com/chaitanya100100/TailorNet,32
307,Learning a Unified Sample Weighting Network for Object Detection,Qi Cai,object-classification,object-detection,,https://github.com/caiqi/sample-weighting-network,32
308,Structure-Guided Ranking Loss for Single Image Depth Prediction,Ke Xian,depth-estimation,,,https://github.com/KexianHust/Structure-Guided-Ranking-Loss,32
309,CONSAC: Robust Multi-Model Fitting by Conditional Sample Consensus,Florian Kluger,homography-estimation,self-supervised-learning,,https://github.com/fkluger/consac,31
310,From Patches to Pictures (PaQ-2-PiQ): Mapping the Perceptual Space of Picture Quality,Zhenqiang Ying,,,,https://github.com/baidut/PaQ-2-PiQ,31
311,How Useful Is Self-Supervised Pretraining for Visual Tasks?,Alejandro Newell,imitation-learning,monocular-depth-estimation,representation-learning,https://github.com/princeton-vl/selfstudy,30
312,Group Sparsity: The Hinge Between Filter Pruning and Decomposition for Network Compression,Yawei Li,image-classification,image-super-resolution,neural-network-compression,https://github.com/ofsoundof/group_sparsity,30
313,Hierarchical Human Parsing With Typed Part-Relation Reasoning,Wenguan Wang,human-parsing,,,https://github.com/hlzhu09/Hierarchical-Human-Parsing,30
314,Enhanced Blind Face Restoration With Multi-Exemplar Images and Adaptive Spatial Feature Fusion,Xiaoming Li,image-reconstruction,,,https://github.com/csxmli2016/ASFFNet,30
315,Embedding Expansion: Augmentation in Embedding Space for Deep Metric Learning,Byungsoo Ko,image-retrieval,metric-learning,,https://github.com/clovaai/embedding-expansion,30
316,Learning for Video Compression With Hierarchical Quality and Recurrent Enhancement,Ren Yang,image-compression,video-compression,,https://github.com/RenYang-home/HLVC,30
317,SESS: Self-Ensembling Semi-Supervised 3D Object Detection,Na Zhao,3d-object-detection,image-classification,object-detection,https://github.com/Na-Z/sess,30
318,Multi-Scale Interactive Network for Salient Object Detection,Youwei Pang,saliency-detection,salient-object-detection,,https://github.com/lartpang/MINet,29
319,Uncertainty-Aware CNNs for Depth Completion: Uncertainty from Beginning to End,Abdelrahman Eldesokey,depth-completion,,,https://github.com/abdo-eldesokey/pncnn,29
320,REVERIE: Remote Embodied Visual Referring Expression in Real Indoor Environments,Yuankai Qi,,,,https://github.com/YuankaiQi/REVERIE,29
321,Cost Volume Pyramid Based Depth Inference for Multi-View Stereo,Jiayu Yang,,,,https://github.com/JiayuYANG/CVP-MVSNet,29
322,Bodies at Rest: 3D Human Pose and Shape Estimation From a Pressure Image Using Synthetic Data,Henry M. Clever,image-generation,,,https://github.com/Healthcare-Robotics/bodies-at-rest,29
323,DaST: Data-Free Substitute Training for Adversarial Attacks,Mingyi Zhou,,,,https://github.com/zhoumingyi/DaST,28
324,Dynamic Multiscale Graph Neural Networks for 3D Skeleton Based Human Motion Prediction,Maosen Li,3d-human-pose-estimation,3d-pose-estimation,human-motion-prediction,https://github.com/limaosen0/DMGNN,28
325,Fusion-Aware Point Convolution for Online Semantic 3D Scene Segmentation,Jiazhao Zhang,scene-segmentation,,,https://github.com/jzhzhang/FusionAwareConv,28
326,Visual Grounding in Video for Unsupervised Word Translation,Gunnar A. Sigurdsson,,,,https://github.com/gsig/visual-grounding,28
327,3DV: 3D Dynamic Voxel for Action Recognition in Depth Video,Yancheng Wang,3d-human-action-recognition,,,https://github.com/3huo/3DV-Action,28
328,ACNe: Attentive Context Normalization for Robust Permutation-Equivariant Learning,Weiwei Sun,pose-estimation,,,https://github.com/vcg-uvic/acne,27
329,Learning Saliency Propagation for Semi-Supervised Instance Segmentation,Yanzhao Zhou,instance-segmentation,object-detection,semantic-segmentation,https://github.com/ucbdrive/ShapeProp,27
330,Category-Level Articulated Object Pose Estimation,Xiaolong Li,pose-estimation,,,https://github.com/dragonlong/articulated-pose,27
331,A Neural Rendering Framework for Free-Viewpoint Relighting,Zhang Chen,3d-reconstruction,image-generation,,https://github.com/LansburyCH/relightable-nr,27
332,Multi-Scale Boosted Dehazing Network With Dense Feature Fusion,Hang Dong,,,,https://github.com/BookerDeWitt/MSBDN-DFF,27
333,Semantic Drift Compensation for Class-Incremental Learning,Lu Yu,,,,https://github.com/yulu0724/SDC-IL,26
334,AutoTrack: Towards High-Performance Visual Tracking for UAV With Automatic Spatio-Temporal Regularization,Yiming Li,visual-tracking,,,https://github.com/vision4robotics/AutoTrack,26
335,Extremely Dense Point Correspondences Using a Learned Feature Descriptor,Xingtong Liu,3d-reconstruction,optical-flow-estimation,,https://github.com/lppllppl920/DenseDescriptorLearning-Pytorch,26
336,IntrA: 3D Intracranial Aneurysm Dataset for Deep Learning,Xi Yang,,,,https://github.com/intra3d2019/IntrA,26
337,PQ-NET: A Generative Part Seq2Seq Network for 3D Shapes,Rundi Wu,3d-reconstruction,single-view-3d-reconstruction,,https://github.com/ChrisWu1997/PQ-NET,26
338,Dual Super-Resolution Learning for Semantic Segmentation,Li Wang,image-super-resolution,pose-estimation,semantic-segmentation,https://github.com/wanglixilinx/DSRL,25
339,Transfer Learning From Synthetic to Real-Noise Denoising With Adaptive Instance Normalization,Yoonsik Kim,denoising,transfer-learning,,https://github.com/terryoo/AINDNet,25
340,Tangent Images for Mitigating Spherical Distortion,Marc Eder,,,,https://github.com/meder411/Tangent-Images,25
341,Gradually Vanishing Bridge for Adversarial Domain Adaptation,Shuhao Cui,domain-adaptation,unsupervised-domain-adaptation,,https://github.com/cuishuhao/GVB,25
342,AOWS: Adaptive and Optimal Network Width Search With Latency Constraints,Maxim Berman,architecture-search,,,https://github.com/bermanmaxim/AOWS,25
343,Local-Global Video-Text Interactions for Temporal Grounding,Jonghwan Mun,,,,https://github.com/JonghwanMun/LGI4temporalgrounding,25
344,AugFPN: Improving Multi-Scale Feature Learning for Object Detection,Chaoxu Guo,object-detection,,,https://github.com/Gus-Guo/AugFPN,25
345,Instance Segmentation of Biological Images Using Harmonic Embeddings,Victor Kulikov,instance-segmentation,semantic-segmentation,,https://github.com/kulikovv/harmonic,24
346,Transform and Tell: Entity-Aware News Image Captioning,Alasdair Tran,image-captioning,language-modelling,,https://github.com/alasdairtran/transform-and-tell,24
347,More Grounded Image Captioning by Distilling Image-Text Matching Model,Yuanen Zhou,image-captioning,text-matching,,https://github.com/YuanEZhou/Grounded-Image-Captioning,24
348,Fusing Wearable IMUs With Multi-View Images for Human Pose Estimation: A Geometric Approach,Zhe Zhang,3d-absolute-human-pose-estimation,3d-human-pose-estimation,pose-estimation,https://github.com/CHUNYUWANG/imu-human-pose-pytorch,24
349,Semi-Supervised Learning for Few-Shot Image-to-Image Translation,Yaxing Wang,few-shot-learning,image-to-image-translation,object-classification,https://github.com/yaxingwang/SEMIT,23
350,xMUDA: Cross-Modal Unsupervised Domain Adaptation for 3D Semantic Segmentation,Maximilian Jaritz,3d-semantic-segmentation,autonomous-driving,domain-adaptation,https://github.com/valeoai/xmuda,23
351,Computing the Testing Error Without a Testing Set,Ciprian A. Corneanu,causal-discovery,model-selection,,https://github.com/cipriancorneanu/dnn-topology,23
352,Regularizing Class-Wise Predictions via Self-Knowledge Distillation,Sukmin Yun,calibration,image-classification,,https://github.com/alinlab/cs-kd,23
353,GNN3DMOT: Graph Neural Network for 3D Multi-Object Tracking With 2D-3D Multi-Feature Learning,Xinshuo Weng,3d-multi-object-tracking,multi-object-tracking,object-tracking,https://github.com/xinshuoweng/GNN3DMOT,22
354,Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,Thomas Verelst,image-classification,pose-estimation,,https://github.com/thomasverelst/dynconv,22
355,Instance Shadow Detection,Tianyu Wang,shadow-detection,,,https://github.com/stevewongv/InstanceShadowDetection,22
356,Interactive Object Segmentation With Inside-Outside Guidance,Shiyin Zhang,instance-segmentation,semantic-segmentation,,https://github.com/shiyinzhang/Inside-Outside-Guidance,22
357,Recurrent Feature Reasoning for Image Inpainting,Jingyuan Li,image-inpainting,,,https://github.com/jingyuanli001/RFR-Inpainting,22
358,StructEdit: Learning Structural Shape Variations,Kaichun Mo,,,,https://github.com/daerduoCarey/structedit,22
359,Weakly Supervised Semantic Point Cloud Segmentation: Towards 10x Fewer Labels,Xun Xu,,,,https://github.com/alex-xun-xu/WeakSupPointCloudSeg,22
360,Cooling-Shrinking Attack: Blinding the Tracker With Imperceptible Noises,Bin Yan,adversarial-attack,,,https://github.com/MasterBin-IIAU/CSA,22
