,filename,title,author,task 1,task 2,task 3,github,stars
106,Lin_Towards_High-Fidelity_3D_Face_Reconstruction_From_In-the-Wild_Images_Using_Graph_CVPR_2020_paper,Towards High-Fidelity 3D Face Reconstruction From In-the-Wild Images Using Graph Convolutional Networks,Jiangke Lin,3d-face-reconstruction,face-reconstruction,,https://github.com/FuxiCV/3D-Face-GCNs,43
107,Mok_Fast_Symmetric_Diffeomorphic_Image_Registration_with_Convolutional_Neural_Networks_CVPR_2020_paper,Fast Symmetric Diffeomorphic Image Registration with Convolutional Neural Networks,Tony C.W. Mok,image-registration,,,https://github.com/cwmok/Fast-Symmetric-Diffeomorphic-Image-Registration-with-Convolutional-Neural-Networks,2
108,Choy_Deep_Global_Registration_CVPR_2020_paper,Deep Global Registration,Christopher Choy,brain-segmentation,image-registration,image-super-resolution,https://github.com/chrischoy/FCGF,195
109,Arar_Unsupervised_Multi-Modal_Image_Registration_via_Geometry_Preserving_Image-to-Image_Translation_CVPR_2020_paper,Unsupervised Multi-Modal Image Registration via Geometry Preserving Image-to-Image Translation,Moab Arar,autonomous-driving,image-registration,image-to-image-translation,https://github.com/moabarar/nemar,13
110,Tang_Unbiased_Scene_Graph_Generation_From_Biased_Training_CVPR_2020_paper,Unbiased Scene Graph Generation From Biased Training,Kaihua Tang,graph-generation,scene-graph-generation,visual-question-answering,https://github.com/KaihuaTang/Scene-Graph-Benchmark.pytorch,239
111,Lin_GPS-Net_Graph_Property_Sensing_Network_for_Scene_Graph_Generation_CVPR_2020_paper,GPS-Net: Graph Property Sensing Network for Scene Graph Generation,Xin Lin,graph-generation,scene-graph-generation,,https://github.com/taksau/GPS-Net,21
112,Zareian_Weakly_Supervised_Visual_Semantic_Parsing_CVPR_2020_paper,Weakly Supervised Visual Semantic Parsing,Alireza Zareian,graph-generation,image-retrieval,scene-graph-generation,https://github.com/alirezazareian/vspnet,10
113,Xu_AANet_Adaptive_Aggregation_Network_for_Efficient_Stereo_Matching_CVPR_2020_paper,AANet: Adaptive Aggregation Network for Efficient Stereo Matching,Haofei Xu,stereo-matching-1,,,https://github.com/haofeixu/aanet,98
114,Gu_Cascade_Cost_Volume_for_High-Resolution_Multi-View_Stereo_and_Stereo_Matching_CVPR_2020_paper,Cascade Cost Volume for High-Resolution Multi-View Stereo and Stereo Matching,Xiaodong Gu,stereo-matching-1,,,https://github.com/alibaba/cascade-stereo,93
115,Liu_Flow2Stereo_Effective_Self-Supervised_Learning_of_Optical_Flow_and_Stereo_Matching_CVPR_2020_paper,Flow2Stereo: Effective Self-Supervised Learning of Optical Flow and Stereo Matching,Pengpeng Liu,optical-flow-estimation,self-supervised-learning,stereo-matching-1,https://github.com/ppliuboy/Flow2Stereo,20
116,Markovitz_Graph_Embedded_Pose_Clustering_for_Anomaly_Detection_CVPR_2020_paper,Graph Embedded Pose Clustering for Anomaly Detection,Amir Markovitz,anomaly-detection,,,https://github.com/amirmk89/gepc,10
117,Zaheer_Old_Is_Gold_Redefining_the_Adversarially_Learned_One-Class_Classifier_Training_CVPR_2020_paper,Old Is Gold: Redefining the Adversarially Learned One-Class Classifier Training Paradigm,Muhammad Zaigham Zaheer,anomaly-detection,one-class-classifier,,https://github.com/xaggi/OGNet,5
118,Bhattacharyya_Normalizing_Flows_With_Multi-Scale_Autoregressive_Priors_CVPR_2020_paper,Normalizing Flows With Multi-Scale Autoregressive Priors,Apratim Bhattacharyya,density-estimation,image-generation,,https://github.com/visinf/mar-scf,8
119,Oh_HCNAF_Hyper-Conditioned_Neural_Autoregressive_Flow_and_its_Application_for_Probabilistic_CVPR_2020_paper,HCNAF: Hyper-Conditioned Neural Autoregressive Flow and its Application for Probabilistic Occupancy Map Forecasting,Geunseob Oh,density-estimation,,,https://github.com/gsoh/HCNAF,8
120,Shih_3D_Photography_Using_Context-Aware_Layered_Depth_Inpainting_CVPR_2020_paper,3D Photography Using Context-Aware Layered Depth Inpainting,Meng-Li Shih,novel-view-synthesis,,,https://github.com/vt-vl-lab/3d-photo-inpainting,3339
121,Ren_Deep_Image_Spatial_Transformation_for_Person_Image_Generation_CVPR_2020_paper,Deep Image Spatial Transformation for Person Image Generation,Yurui Ren,novel-view-synthesis,,,https://github.com/RenYurui/Global-Flow-Local-Attention,222
122,Shi_Unsupervised_Deep_Shape_Descriptor_With_Point_Distribution_Learning_CVPR_2020_paper,Unsupervised Deep Shape Descriptor With Point Distribution Learning,Yi Shi,3d-shape-retrieval,,,https://github.com/WordBearerYI/Unsupervised-Deep-Shape-Descriptor-with-Point-Distribution-Learning/blob/master/README.md,3
123,Wei_View-GCN_View-Based_Graph_Convolutional_Network_for_3D_Shape_Analysis_CVPR_2020_paper,View-GCN: View-Based Graph Convolutional Network for 3D Shape Analysis,Xin Wei,3d-shape-analysis,3d-shape-retrieval,3d-shape-recognition,https://github.com/weixmath/view-GCN,5
124,Voigtlaender_Siam_R-CNN_Visual_Tracking_by_Re-Detection_CVPR_2020_paper,Siam R-CNN: Visual Tracking by Re-Detection,Paul Voigtlaender,object-detection,object-tracking,visual-object-tracking,https://github.com/VisualComputingInstitute/SiamR-CNN,74
125,Saito_PIFuHD_Multi-Level_Pixel-Aligned_Implicit_Function_for_High-Resolution_3D_Human_Digitization_CVPR_2020_paper,PIFuHD: Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization,Shunsuke Saito,3d-object-reconstruction-from-a-single-image,,,https://github.com/facebookresearch/pifuhd,2034
126,Navaneet_From_Image_Collections_to_Point_Clouds_With_Self-Supervised_Shape_and_CVPR_2020_paper,From Image Collections to Point Clouds With Self-Supervised Shape and Pose Networks,K L Navaneet,3d-object-reconstruction,3d-object-reconstruction-from-a-single-image,object-reconstruction,https://github.com/val-iisc/ssl_3d_recon,14
127,Min_VOLDOR_Visual_Odometry_From_Log-Logistic_Dense_Optical_Flow_Residuals_CVPR_2020_paper,VOLDOR: Visual Odometry From Log-Logistic Dense Optical Flow Residuals,Zhixiang Min,optical-flow-estimation,visual-odometry,,https://github.com/htkseason/VOLDOR,14
128,Min_An_Efficient_PointLSTM_for_Point_Clouds_Based_Gesture_Recognition_CVPR_2020_paper,An Efficient PointLSTM for Point Clouds Based Gesture Recognition,Yuecong Min,gesture-recognition,,,https://github.com/Blueprintf/pointlstm-gesture-recognition-pytorch,6
129,Eyzaguirre_Differentiable_Adaptive_Computation_Time_for_Visual_Reasoning_CVPR_2020_paper,Differentiable Adaptive Computation Time for Visual Reasoning,Cristobal Eyzaguirre,visual-reasoning,,,https://github.com/ceyzaguirre4/DACT-MAC,6
130,Cooray_Attention-Based_Context_Aware_Reasoning_for_Situation_Recognition_CVPR_2020_paper,Attention-Based Context Aware Reasoning for Situation Recognition,Thilini Cooray,question-answering,visual-question-answering,visual-reasoning,https://github.com/thilinicooray/context-aware-reasoning-for-sr,1
131,Lin_FPConv_Learning_Local_Flattening_for_Point_Convolution_CVPR_2020_paper,FPConv: Learning Local Flattening for Point Convolution,Yiqun Lin,3d-object-classification,object-classification,scene-segmentation,https://github.com/lyqun/FPConv,66
132,Rao_Global-Local_Bidirectional_Reasoning_for_Unsupervised_Representation_Learning_of_3D_Point_CVPR_2020_paper,Global-Local Bidirectional Reasoning for Unsupervised Representation Learning of 3D Point Clouds,Yongming Rao,3d-object-classification,object-classification,representation-learning,https://github.com/raoyongming/PointGLR,48
133,Zhang_Correlating_Edge_Pose_With_Parsing_CVPR_2020_paper,"Correlating Edge, Pose With Parsing",Ziwei Zhang,human-parsing,,,https://github.com/ziwei-zh/CorrPM,61
134,Wang_Hierarchical_Human_Parsing_With_Typed_Part-Relation_Reasoning_CVPR_2020_paper,Hierarchical Human Parsing With Typed Part-Relation Reasoning,Wenguan Wang,human-parsing,,,https://github.com/hlzhu09/Hierarchical-Human-Parsing,30
135,Cheng_CascadePSP_Toward_Class-Agnostic_and_Very_High-Resolution_Segmentation_via_Global_and_CVPR_2020_paper,CascadePSP: Toward Class-Agnostic and Very High-Resolution Segmentation via Global and Local Refinement,Ho Kei Cheng,scene-parsing,semantic-segmentation,,https://github.com/hkchengrex/CascadePSP,188
136,Hou_Strip_Pooling_Rethinking_Spatial_Pooling_for_Scene_Parsing_CVPR_2020_paper,Strip Pooling: Rethinking Spatial Pooling for Scene Parsing,Qibin Hou,scene-parsing,,,https://github.com/Andrew-Qibin/SPNet,140
137,Phan-Minh_CoverNet_Multimodal_Behavior_Prediction_Using_Trajectory_Sets_CVPR_2020_paper,CoverNet: Multimodal Behavior Prediction Using Trajectory Sets,Tung Phan-Minh,trajectory-prediction,,,https://github.com/nutonomy/nuscenes-devkit,640
138,Mohamed_Social-STGCNN_A_Social_Spatio-Temporal_Graph_Convolutional_Neural_Network_for_Human_CVPR_2020_paper,Social-STGCNN: A Social Spatio-Temporal Graph Convolutional Neural Network for Human Trajectory Prediction,Abduallah Mohamed,autonomous-vehicles,trajectory-prediction,,https://github.com/abduallahmohamed/Social-STGCNN,111
139,Chen_Action_Segmentation_With_Joint_Self-Supervised_Temporal_Domain_Adaptation_CVPR_2020_paper,Action Segmentation With Joint Self-Supervised Temporal Domain Adaptation,Min-Hung Chen,action-segmentation,domain-adaptation,,https://github.com/cmhungsteve/SSTDA,73
140,De_Lange_Unsupervised_Model_Personalization_While_Preserving_Privacy_and_Scalability_An_Open_CVPR_2020_paper,Unsupervised Model Personalization While Preserving Privacy and Scalability: An Open Problem,Matthias De Lange,continual-learning,domain-adaptation,scene-recognition,https://github.com/mattdl/DUA,6
141,Chen_Fine-Grained_Video-Text_Retrieval_With_Hierarchical_Graph_Reasoning_CVPR_2020_paper,Fine-Grained Video-Text Retrieval With Hierarchical Graph Reasoning,Shizhe Chen,cross-modal-retrieval,image-retrieval,structured-prediction,https://github.com/cshizhe/hgr_v2t,42
142,Wang_Attentive_Normalization_for_Conditional_Image_Generation_CVPR_2020_paper,Attentive Normalization for Conditional Image Generation,Yi Wang,gaze-estimation,image-to-image-translation,semantic-similarity,https://github.com/shepnerd/AttenNorm,15
143,Li_SGAS_Sequential_Greedy_Architecture_Search_CVPR_2020_paper,SGAS: Sequential Greedy Architecture Search,Guohao Li,image-classification,architecture-search,node-classification,https://github.com/lightaime/sgas,94
144,Sarlin_SuperGlue_Learning_Feature_Matching_With_Graph_Neural_Networks_CVPR_2020_paper,SuperGlue: Learning Feature Matching With Graph Neural Networks,Paul-Edouard Sarlin,domain-adaptation,homography-estimation,interest-point-detection,https://github.com/magicleap/SuperGluePretrainedNetwork,506
145,Wang_Neural_Pose_Transfer_by_Spatially_Adaptive_Instance_Normalization_CVPR_2020_paper,Neural Pose Transfer by Spatially Adaptive Instance Normalization,Jiashun Wang,pose-transfer,style-transfer,,https://github.com/jiashunwang/Neural-Pose-Transfer,73
146,Tang_Local_Class-Specific_and_Global_Image-Level_Generative_Adversarial_Networks_for_Semantic-Guided_CVPR_2020_paper,Local Class-Specific and Global Image-Level Generative Adversarial Networks for Semantic-Guided Scene Generation,Hao Tang,bird-view-synthesis,cross-view-image-to-image-translation,image-to-image-translation,https://github.com/Ha0Tang/LGGAN,34
147,Eldesokey_Uncertainty-Aware_CNNs_for_Depth_Completion_Uncertainty_from_Beginning_to_End_CVPR_2020_paper,Uncertainty-Aware CNNs for Depth Completion: Uncertainty from Beginning to End,Abdelrahman Eldesokey,depth-completion,,,https://github.com/abdo-eldesokey/pncnn,29
148,Weng_GNN3DMOT_Graph_Neural_Network_for_3D_Multi-Object_Tracking_With_2D-3D_CVPR_2020_paper,GNN3DMOT: Graph Neural Network for 3D Multi-Object Tracking With 2D-3D Multi-Feature Learning,Xinshuo Weng,3d-multi-object-tracking,multi-object-tracking,object-tracking,https://github.com/xinshuoweng/GNN3DMOT,22
149,Zhou_KFNet_Learning_Temporal_Camera_Relocalization_Using_Kalman_Filtering_CVPR_2020_paper,KFNet: Learning Temporal Camera Relocalization Using Kalman Filtering,Lei Zhou,camera-relocalization,,,https://github.com/zlthinker/KFNet,80
150,Pan_X-Linear_Attention_Networks_for_Image_Captioning_CVPR_2020_paper,X-Linear Attention Networks for Image Captioning,Yingwei Pan,fine-grained-visual-recognition,image-captioning,question-answering,https://github.com/Panda-Peter/image-captioning,84
151,Sofiiuk_F-BRS_Rethinking_Backpropagating_Refinement_for_Interactive_Segmentation_CVPR_2020_paper,F-BRS: Rethinking Backpropagating Refinement for Interactive Segmentation,Konstantin Sofiiuk,interactive-segmentation,,,https://github.com/saic-vul/fbrs_interactive_segmentation,234
152,Yang_Learning_to_Cluster_Faces_via_Confidence_and_Connectivity_Estimation_CVPR_2020_paper,Learning to Cluster Faces via Confidence and Connectivity Estimation,Lei Yang,connectivity-estimation,face-clustering,,https://github.com/yl-1993/learn-to-cluster,349
153,Xue_Holistically-Attracted_Wireframe_Parsing_CVPR_2020_paper,Holistically-Attracted Wireframe Parsing,Nan Xue,line-segment-detection,,,https://github.com/cherubicXN/hawp,17
154,Chen_Norm-Aware_Embedding_for_Efficient_Person_Search_CVPR_2020_paper,Norm-Aware Embedding for Efficient Person Search,Di Chen,human-detection,person-re-identification,person-search,https://github.com/DeanChan/NAE4PS,16
155,Schonfeld_A_U-Net_Based_Discriminator_for_Generative_Adversarial_Networks_CVPR_2020_paper,A U-Net Based Discriminator for Generative Adversarial Networks,Edgar Schonfeld,compressive-sensing,semantic-segmentation,,https://github.com/xingchenzhao/deep-learning-team-project,2
156,Simon_Barycenters_of_Natural_Images__Constrained_Wasserstein_Barycenters_for_Image_CVPR_2020_paper,Barycenters of Natural Images  Constrained Wasserstein Barycenters for Image Morphing,Dror Simon,image-morphing,,,https://github.com/drorsimon/image_barycenters,2
157,Yang_Learning_to_Manipulate_Individual_Objects_in_an_Image_CVPR_2020_paper,Learning to Manipulate Individual Objects in an Image,Yanchao Yang,image-manipulation-detection,object-detection,,https://github.com/ChenYutongTHU/Learning-to-manipulate-individual-objects-in-an-image-Implementation,3
158,Cai_Generalizing_Hand_Segmentation_in_Egocentric_Videos_With_Uncertainty-Guided_Model_Adaptation_CVPR_2020_paper,Generalizing Hand Segmentation in Egocentric Videos With Uncertainty-Guided Model Adaptation,Minjie Cai,hand-segmentation,,,https://github.com/cai-mj/UMA,4
159,Verbin_Toward_a_Universal_Model_for_Shape_From_Texture_CVPR_2020_paper,Toward a Universal Model for Shape From Texture,Dor Verbin,shape-from-texture,texture-synthesis,,https://github.com/dorverbin/shapefromtexture,3
160,Kluger_CONSAC_Robust_Multi-Model_Fitting_by_Conditional_Sample_Consensus_CVPR_2020_paper,CONSAC: Robust Multi-Model Fitting by Conditional Sample Consensus,Florian Kluger,homography-estimation,self-supervised-learning,,https://github.com/fkluger/consac,31
161,Le_Deep_Homography_Estimation_for_Dynamic_Scenes_CVPR_2020_paper,Deep Homography Estimation for Dynamic Scenes,Hoang Le,homography-estimation,multi-task-learning,,https://github.com/lcmhoang/hmg-dynamics,15
162,Zhang_Deep_Relational_Reasoning_Graph_Network_for_Arbitrary_Shape_Text_Detection_CVPR_2020_paper,Deep Relational Reasoning Graph Network for Arbitrary Shape Text Detection,Shi-Xue Zhang,graph-construction,relational-reasoning,,https://github.com/GXYM/DRRG,93
163,Shen_Auto-Encoding_Twin-Bottleneck_Hashing_CVPR_2020_paper,Auto-Encoding Twin-Bottleneck Hashing,Yuming Shen,graph-construction,,,https://github.com/ymcidence/TBH,38
164,Yang_Rotation_Equivariant_Graph_Convolutional_Network_for_Spherical_Image_Classification_CVPR_2020_paper,Rotation Equivariant Graph Convolutional Network for Spherical Image Classification,Qin Yang,graph-construction,image-classification,,https://github.com/QinYang12/SGCN,5
165,Gao_Pose-Guided_Visible_Part_Matching_for_Occluded_Person_ReID_CVPR_2020_paper,Pose-Guided Visible Part Matching for Occluded Person ReID,Shang Gao,graph-matching,person-re-identification,,https://github.com/hh23333/PVPM,39
166,Wang_High-Order_Information_Matters_Learning_Relation_and_Topology_for_Occluded_Person_CVPR_2020_paper,High-Order Information Matters: Learning Relation and Topology for Occluded Person Re-Identification,Guan'an Wang,graph-matching,person-re-identification,,https://github.com/wangguanan/HOReID,37
167,Wang_Zero-Assignment_Constraint_for_Graph_Matching_With_Outliers_CVPR_2020_paper,Zero-Assignment Constraint for Graph Matching With Outliers,Fudong Wang,graph-matching,,,https://github.com/wangfudong/ZAC_GM,1
168,Guo_Iterative_Context-Aware_Graph_Inference_for_Visual_Dialog_CVPR_2020_paper,Iterative Context-Aware Graph Inference for Visual Dialog,Dan Guo,graph-embedding,visual-dialogue,,https://github.com/wh0330/CAG_VisDial,5
