,filename,title,author,task 1,task 2,task 3,github,stars
251,Yin_LiDAR-Based_Online_3D_Video_Object_Detection_With_Graph-Based_Message_Passing_CVPR_2020_paper,LiDAR-Based Online 3D Video Object Detection With Graph-Based Message Passing and Spatiotemporal Transformer Attention,Junbo Yin,object-detection,video-object-detection,,https://github.com/yinjunbo/3DVID,44
252,Wannenwetsch_Probabilistic_Pixel-Adaptive_Refinement_Networks_CVPR_2020_paper,Probabilistic Pixel-Adaptive Refinement Networks,Anne S. Wannenwetsch,optical-flow-estimation,semantic-segmentation,,https://github.com/visinf/ppac_refinement,44
253,Afifi_Deep_White-Balance_Editing_CVPR_2020_paper,Deep White-Balance Editing,Mahmoud Afifi,,,,https://github.com/mahmoudnafifi/WB_color_augmenter,44
254,Chen_G2L-Net_Global_to_Local_Network_for_Real-Time_6D_Pose_Estimation_CVPR_2020_paper,G2L-Net: Global to Local Network for Real-Time 6D Pose Estimation With Embedding Vector Features,Wei Chen,6d-pose-estimation-1,6d-pose-estimation,pose-estimation,https://github.com/DC1991/G2L_Net,44
255,Roth_PADS_Policy-Adapted_Sampling_for_Visual_Similarity_Learning_CVPR_2020_paper,PADS: Policy-Adapted Sampling for Visual Similarity Learning,Karsten Roth,,,,https://github.com/Confusezius/CVPR2020_PADS,44
256,Ulutan_VSGNet_Spatial_Attention_Network_for_Detecting_Human_Object_Interactions_Using_CVPR_2020_paper,VSGNet: Spatial Attention Network for Detecting Human Object Interactions Using Graph Convolutions,Oytun Ulutan,human-object-interaction-detection,,,https://github.com/ASMIftekhar/VSGNet,44
257,Hao_DualSDF_Semantic_Shape_Manipulation_Using_a_Two-Level_Representation_CVPR_2020_paper,DualSDF: Semantic Shape Manipulation Using a Two-Level Representation,Zekun Hao,,,,https://github.com/zekunhao1995/DualSDF,43
258,Miech_End-to-End_Learning_of_Visual_Representations_From_Uncurated_Instructional_Videos_CVPR_2020_paper,End-to-End Learning of Visual Representations From Uncurated Instructional Videos,Antoine Miech,action-localization,action-segmentation,video-retrieval,https://github.com/antoine77340/S3D_HowTo100M,43
259,Lin_Towards_High-Fidelity_3D_Face_Reconstruction_From_In-the-Wild_Images_Using_Graph_CVPR_2020_paper,Towards High-Fidelity 3D Face Reconstruction From In-the-Wild Images Using Graph Convolutional Networks,Jiangke Lin,3d-face-reconstruction,face-reconstruction,,https://github.com/FuxiCV/3D-Face-GCNs,43
260,Siddiqui_ViewAL_Active_Learning_With_Viewpoint_Entropy_for_Semantic_Segmentation_CVPR_2020_paper,ViewAL: Active Learning With Viewpoint Entropy for Semantic Segmentation,Yawar Siddiqui,active-learning,semantic-segmentation,,https://github.com/nihalsid/ViewAL,42
261,Koujan_DeepFaceFlow_In-the-Wild_Dense_3D_Facial_Motion_Estimation_CVPR_2020_paper,DeepFaceFlow: In-the-Wild Dense 3D Facial Motion Estimation,Mohammad Rami Koujan,3d-reconstruction,facial-expression-recognition,motion-capture,https://github.com/mrkoujan/DeepFaceFlow,42
262,Chong_Detecting_Attended_Visual_Targets_in_Video_CVPR_2020_paper,Detecting Attended Visual Targets in Video,Eunji Chong,deep-attention,,,https://github.com/ejcgt/attention-target-detection,42
263,Chen_Fine-Grained_Video-Text_Retrieval_With_Hierarchical_Graph_Reasoning_CVPR_2020_paper,Fine-Grained Video-Text Retrieval With Hierarchical Graph Reasoning,Shizhe Chen,cross-modal-retrieval,image-retrieval,structured-prediction,https://github.com/cshizhe/hgr_v2t,42
264,Park_LatentFusion_End-to-End_Differentiable_Reconstruction_and_Rendering_for_Unseen_Object_Pose_CVPR_2020_paper,LatentFusion: End-to-End Differentiable Reconstruction and Rendering for Unseen Object Pose Estimation,Keunhong Park,6d-pose-estimation-1,6d-pose-estimation,pose-estimation,https://github.com/NVlabs/latentfusion,42
265,Yin_A_Unified_Object_Motion_and_Affinity_Model_for_Online_Multi-Object_CVPR_2020_paper,A Unified Object Motion and Affinity Model for Online Multi-Object Tracking,Junbo Yin,metric-learning,multi-object-tracking,multi-task-learning,https://github.com/yinjunbo/UMA-MOT,41
266,Luo_Multi-Task_Collaborative_Network_for_Joint_Referring_Expression_Comprehension_and_Segmentation_CVPR_2020_paper,Multi-Task Collaborative Network for Joint Referring Expression Comprehension and Segmentation,Gen Luo,,,,https://github.com/luogen1996/MCN,41
267,Hou_Inter-Region_Affinity_Distillation_for_Road_Marking_Segmentation_CVPR_2020_paper,Inter-Region Affinity Distillation for Road Marking Segmentation,Yuenan Hou,,,,https://github.com/cardwing/Codes-for-IntRA-KD,41
268,Shridhar_ALFRED_A_Benchmark_for_Interpreting_Grounded_Instructions_for_Everyday_Tasks_CVPR_2020_paper,ALFRED: A Benchmark for Interpreting Grounded Instructions for Everyday Tasks,Mohit Shridhar,,,,https://github.com/askforalfred/alfred,41
269,Kim_Video_Panoptic_Segmentation_CVPR_2020_paper,Video Panoptic Segmentation,Dahun Kim,instance-segmentation,panoptic-segmentation,semantic-segmentation,https://github.com/mcahny/vps,40
270,Sammani_Show_Edit_and_Tell_A_Framework_for_Editing_Image_Captions_CVPR_2020_paper,"Show, Edit and Tell: A Framework for Editing Image Captions",Fawaz Sammani,denoising,image-captioning,,https://github.com/fawazsammani/show-edit-tell,40
271,Epstein_Oops_Predicting_Unintentional_Action_in_Video_CVPR_2020_paper,Oops! Predicting Unintentional Action in Video,Dave Epstein,,,,https://github.com/cvlab-columbia/oops,40
272,Li_BachGAN_High-Resolution_Image_Synthesis_From_Salient_Object_Layout_CVPR_2020_paper,BachGAN: High-Resolution Image Synthesis From Salient Object Layout,Yandong Li,image-generation,,,https://github.com/Cold-Winter/BachGAN,40
273,Zhang_Cross-Domain_Correspondence_Learning_for_Exemplar-Based_Image_Translation_CVPR_2020_paper,Cross-Domain Correspondence Learning for Exemplar-Based Image Translation,Pan Zhang,image-to-image-translation,,,https://github.com/microsoft/CoCosNet,39
274,Gao_Pose-Guided_Visible_Part_Matching_for_Occluded_Person_ReID_CVPR_2020_paper,Pose-Guided Visible Part Matching for Occluded Person ReID,Shang Gao,graph-matching,person-re-identification,,https://github.com/hh23333/PVPM,39
275,Sadhu_Video_Object_Grounding_Using_Semantic_Roles_in_Language_Description_CVPR_2020_paper,Video Object Grounding Using Semantic Roles in Language Description,Arka Sadhu,,,,https://github.com/TheShadow29/vognet-pytorch,39
276,Chiu_Agriculture-Vision_A_Large_Aerial_Image_Database_for_Agricultural_Pattern_Analysis_CVPR_2020_paper,Agriculture-Vision: A Large Aerial Image Database for Agricultural Pattern Analysis,Mang Tik Chiu,semantic-segmentation,,,https://github.com/SHI-Labs/Agriculture-Vision,39
277,Xu_Exploring_Categorical_Regularization_for_Domain_Adaptive_Object_Detection_CVPR_2020_paper,Exploring Categorical Regularization for Domain Adaptive Object Detection,Chang-Dong Xu,domain-adaptation,object-detection,,https://github.com/Megvii-Nanjing/CR-DA-DET,39
278,Shen_Auto-Encoding_Twin-Bottleneck_Hashing_CVPR_2020_paper,Auto-Encoding Twin-Bottleneck Hashing,Yuming Shen,graph-construction,,,https://github.com/ymcidence/TBH,38
279,Wang_Transferable_Controllable_and_Inconspicuous_Adversarial_Attacks_on_Person_Re-identification_With_CVPR_2020_paper,"Transferable, Controllable, and Inconspicuous Adversarial Attacks on Person Re-identification With Deep Mis-Ranking",Hongjun Wang,person-re-identification,representation-learning,,https://github.com/whj363636/Adversarial-attack-on-Person-ReID-With-Deep-Mis-Ranking,38
280,Chen_Adversarial_Robustness_From_Self-Supervised_Pre-Training_to_Fine-Tuning_CVPR_2020_paper,Adversarial Robustness: From Self-Supervised Pre-Training to Fine-Tuning,Tianlong Chen,,,,https://github.com/TAMU-VITA/Adv-SS-Pretraining,38
281,Wang_Cross-Batch_Memory_for_Embedding_Learning_CVPR_2020_paper,Cross-Batch Memory for Embedding Learning,Xun Wang,image-retrieval,metric-learning,,https://github.com/MalongTech/research-xbm,38
282,Wang_High-Order_Information_Matters_Learning_Relation_and_Topology_for_Occluded_Person_CVPR_2020_paper,High-Order Information Matters: Learning Relation and Topology for Occluded Person Re-Identification,Guan'an Wang,graph-matching,person-re-identification,,https://github.com/wangguanan/HOReID,37
283,Wang_High-Frequency_Component_Helps_Explain_the_Generalization_of_Convolutional_Neural_Networks_CVPR_2020_paper,High-Frequency Component Helps Explain the Generalization of Convolutional Neural Networks,Haohan Wang,adversarial-attack,,,https://github.com/HaohanWang/HFC,37
284,Liu_Neural_Contours_Learning_to_Draw_Lines_From_3D_Shapes_CVPR_2020_paper,Neural Contours: Learning to Draw Lines From 3D Shapes,Difan Liu,,,,https://github.com/DifanLiu/NeuralContours,37
285,Rebuffi_There_and_Back_Again_Revisiting_Backpropagation_Saliency_Methods_CVPR_2020_paper,There and Back Again: Revisiting Backpropagation Saliency Methods,Sylvestre-Alvise Rebuffi,meta-learning,,,https://github.com/srebuffi/revisiting_saliency,36
286,Li_ManiGAN_Text-Guided_Image_Manipulation_CVPR_2020_paper,ManiGAN: Text-Guided Image Manipulation,Bowen Li,,,,https://github.com/mrlibw/ManiGAN,36
287,Guo_When_NAS_Meets_Robustness_In_Search_of_Robust_Architectures_Against_CVPR_2020_paper,When NAS Meets Robustness: In Search of Robust Architectures Against Adversarial Attacks,Minghao Guo,architecture-search,,,https://github.com/gmh14/RobNets,36
288,Gao_Listen_to_Look_Action_Recognition_by_Previewing_Audio_CVPR_2020_paper,Listen to Look: Action Recognition by Previewing Audio,Ruohan Gao,,,,https://github.com/facebookresearch/Listen-to-Look,36
289,Rajasegaran_iTAML_An_Incremental_Task-Agnostic_Meta-learning_Approach_CVPR_2020_paper,iTAML: An Incremental Task-Agnostic Meta-learning Approach,Jathushan Rajasegaran,meta-learning,,,https://github.com/brjathu/iTAML,36
290,Yu_Weakly_Supervised_Discriminative_Feature_Learning_With_State_Information_for_Person_CVPR_2020_paper,Weakly Supervised Discriminative Feature Learning With State Information for Person Identification,Hong-Xing Yu,face-recognition,person-identification,person-re-identification,https://github.com/KovenYu/state-information,36
291,Hao_Towards_Learning_a_Generic_Agent_for_Vision-and-Language_Navigation_via_Pre-Training_CVPR_2020_paper,Towards Learning a Generic Agent for Vision-and-Language Navigation via Pre-Training,Weituo Hao,self-supervised-learning,visual-navigation,,https://github.com/weituo12321/PREVALENT,35
292,Jia_Single-Side_Domain_Generalization_for_Face_Anti-Spoofing_CVPR_2020_paper,Single-Side Domain Generalization for Face Anti-Spoofing,Yunpei Jia,domain-generalization,face-anti-spoofing,,https://github.com/taylover-pei/SSDG-CVPR2020,35
293,Paschalidou_Learning_Unsupervised_Hierarchical_Part_Decomposition_of_3D_Objects_From_a_CVPR_2020_paper,Learning Unsupervised Hierarchical Part Decomposition of 3D Objects From a Single RGB Image,Despoina Paschalidou,3d-reconstruction,,,https://github.com/paschalidoud/hierarchical_primitives,35
294,Chen_Unsupervised_Learning_of_Intrinsic_Structural_Representation_Points_CVPR_2020_paper,Unsupervised Learning of Intrinsic Structural Representation Points,Nenglun Chen,,,,https://github.com/NolenChen/3DStructurePoints,35
295,Le_Hierarchical_Conditional_Relation_Networks_for_Video_Question_Answering_CVPR_2020_paper,Hierarchical Conditional Relation Networks for Video Question Answering,Thao Minh Le,question-answering,video-question-answering,visual-question-answering,https://github.com/thaolmk54/hcrn-videoqa,34
296,Moran_DeepLPF_Deep_Local_Parametric_Filters_for_Image_Enhancement_CVPR_2020_paper,DeepLPF: Deep Local Parametric Filters for Image Enhancement,Sean Moran,image-enhancement,,,https://github.com/sjmoran/deep_local_parametric_filters,34
297,Gao_GraphTER_Unsupervised_Learning_of_Graph_Transformation_Equivariant_Representations_via_Auto-Encoding_CVPR_2020_paper,GraphTER: Unsupervised Learning of Graph Transformation Equivariant Representations via Auto-Encoding Node-Wise Transformations,Xiang Gao,,,,https://github.com/gyshgx868/graph-ter,34
298,Zhang_Weakly-Supervised_Salient_Object_Detection_via_Scribble_Annotations_CVPR_2020_paper,Weakly-Supervised Salient Object Detection via Scribble Annotations,Jing Zhang,edge-detection,object-detection,salient-object-detection,https://github.com/JingZhang617/Scribble_Saliency,34
299,Tang_Local_Class-Specific_and_Global_Image-Level_Generative_Adversarial_Networks_for_Semantic-Guided_CVPR_2020_paper,Local Class-Specific and Global Image-Level Generative Adversarial Networks for Semantic-Guided Scene Generation,Hao Tang,bird-view-synthesis,cross-view-image-to-image-translation,image-to-image-translation,https://github.com/Ha0Tang/LGGAN,34
300,Xu_Cross-Domain_Detection_via_Graph-Induced_Prototype_Alignment_CVPR_2020_paper,Cross-Domain Detection via Graph-Induced Prototype Alignment,Minghao Xu,domain-adaptation,object-detection,,https://github.com/ChrisAllenMing/GPA-detection,34
301,Materzynska_Something-Else_Compositional_Action_Recognition_With_Spatial-Temporal_Interaction_Networks_CVPR_2020_paper,Something-Else: Compositional Action Recognition With Spatial-Temporal Interaction Networks,Joanna Materzynska,,,,https://github.com/joaanna/something_else,33
302,Engelmann_3D-MPA_Multi-Proposal_Aggregation_for_3D_Semantic_Instance_Segmentation_CVPR_2020_paper,3D-MPA: Multi-Proposal Aggregation for 3D Semantic Instance Segmentation,Francis Engelmann,3d-instance-segmentation-1,3d-object-detection,3d-semantic-instance-segmentation,https://github.com/francisengelmann/3D-MPA,33
303,Gao_MTL-NAS_Task-Agnostic_Neural_Architecture_Search_Towards_General-Purpose_Multi-Task_Learning_CVPR_2020_paper,MTL-NAS: Task-Agnostic Neural Architecture Search Towards General-Purpose Multi-Task Learning,Yuan Gao,multi-task-learning,architecture-search,,https://github.com/bhpfelix/MTLNAS,33
304,Kim_M2m_Imbalanced_Classification_via_Major-to-Minor_Translation_CVPR_2020_paper,M2m: Imbalanced Classification via Major-to-Minor Translation,Jaehyung Kim,,,,https://github.com/alinlab/M2m,33
305,Esser_A_Disentangling_Invertible_Interpretation_Network_for_Explaining_Latent_Representations_CVPR_2020_paper,A Disentangling Invertible Interpretation Network for Explaining Latent Representations,Patrick Esser,image-generation,,,https://github.com/CompVis/iin,33
306,Patel_TailorNet_Predicting_Clothing_in_3D_as_a_Function_of_Human_CVPR_2020_paper,"TailorNet: Predicting Clothing in 3D as a Function of Human Pose, Shape and Garment Style",Chaitanya Patel,,,,https://github.com/chaitanya100100/TailorNet,32
307,Cai_Learning_a_Unified_Sample_Weighting_Network_for_Object_Detection_CVPR_2020_paper,Learning a Unified Sample Weighting Network for Object Detection,Qi Cai,object-classification,object-detection,,https://github.com/caiqi/sample-weighting-network,32
308,Xian_Structure-Guided_Ranking_Loss_for_Single_Image_Depth_Prediction_CVPR_2020_paper,Structure-Guided Ranking Loss for Single Image Depth Prediction,Ke Xian,depth-estimation,,,https://github.com/KexianHust/Structure-Guided-Ranking-Loss,32
309,Kluger_CONSAC_Robust_Multi-Model_Fitting_by_Conditional_Sample_Consensus_CVPR_2020_paper,CONSAC: Robust Multi-Model Fitting by Conditional Sample Consensus,Florian Kluger,homography-estimation,self-supervised-learning,,https://github.com/fkluger/consac,31
310,Ying_From_Patches_to_Pictures_PaQ-2-PiQ_Mapping_the_Perceptual_Space_of_CVPR_2020_paper,From Patches to Pictures (PaQ-2-PiQ): Mapping the Perceptual Space of Picture Quality,Zhenqiang Ying,,,,https://github.com/baidut/PaQ-2-PiQ,31
311,Newell_How_Useful_Is_Self-Supervised_Pretraining_for_Visual_Tasks_CVPR_2020_paper,How Useful Is Self-Supervised Pretraining for Visual Tasks?,Alejandro Newell,imitation-learning,monocular-depth-estimation,representation-learning,https://github.com/princeton-vl/selfstudy,30
312,Li_Group_Sparsity_The_Hinge_Between_Filter_Pruning_and_Decomposition_for_CVPR_2020_paper,Group Sparsity: The Hinge Between Filter Pruning and Decomposition for Network Compression,Yawei Li,image-classification,image-super-resolution,neural-network-compression,https://github.com/ofsoundof/group_sparsity,30
313,Wang_Hierarchical_Human_Parsing_With_Typed_Part-Relation_Reasoning_CVPR_2020_paper,Hierarchical Human Parsing With Typed Part-Relation Reasoning,Wenguan Wang,human-parsing,,,https://github.com/hlzhu09/Hierarchical-Human-Parsing,30
314,Li_Enhanced_Blind_Face_Restoration_With_Multi-Exemplar_Images_and_Adaptive_Spatial_CVPR_2020_paper,Enhanced Blind Face Restoration With Multi-Exemplar Images and Adaptive Spatial Feature Fusion,Xiaoming Li,image-reconstruction,,,https://github.com/csxmli2016/ASFFNet,30
315,Ko_Embedding_Expansion_Augmentation_in_Embedding_Space_for_Deep_Metric_Learning_CVPR_2020_paper,Embedding Expansion: Augmentation in Embedding Space for Deep Metric Learning,Byungsoo Ko,image-retrieval,metric-learning,,https://github.com/clovaai/embedding-expansion,30
316,Yang_Learning_for_Video_Compression_With_Hierarchical_Quality_and_Recurrent_Enhancement_CVPR_2020_paper,Learning for Video Compression With Hierarchical Quality and Recurrent Enhancement,Ren Yang,image-compression,video-compression,,https://github.com/RenYang-home/HLVC,30
317,Zhao_SESS_Self-Ensembling_Semi-Supervised_3D_Object_Detection_CVPR_2020_paper,SESS: Self-Ensembling Semi-Supervised 3D Object Detection,Na Zhao,3d-object-detection,image-classification,object-detection,https://github.com/Na-Z/sess,30
318,Pang_Multi-Scale_Interactive_Network_for_Salient_Object_Detection_CVPR_2020_paper,Multi-Scale Interactive Network for Salient Object Detection,Youwei Pang,saliency-detection,salient-object-detection,,https://github.com/lartpang/MINet,29
319,Eldesokey_Uncertainty-Aware_CNNs_for_Depth_Completion_Uncertainty_from_Beginning_to_End_CVPR_2020_paper,Uncertainty-Aware CNNs for Depth Completion: Uncertainty from Beginning to End,Abdelrahman Eldesokey,depth-completion,,,https://github.com/abdo-eldesokey/pncnn,29
320,Qi_REVERIE_Remote_Embodied_Visual_Referring_Expression_in_Real_Indoor_Environments_CVPR_2020_paper,REVERIE: Remote Embodied Visual Referring Expression in Real Indoor Environments,Yuankai Qi,,,,https://github.com/YuankaiQi/REVERIE,29
321,Yang_Cost_Volume_Pyramid_Based_Depth_Inference_for_Multi-View_Stereo_CVPR_2020_paper,Cost Volume Pyramid Based Depth Inference for Multi-View Stereo,Jiayu Yang,,,,https://github.com/JiayuYANG/CVP-MVSNet,29
322,Clever_Bodies_at_Rest_3D_Human_Pose_and_Shape_Estimation_From_CVPR_2020_paper,Bodies at Rest: 3D Human Pose and Shape Estimation From a Pressure Image Using Synthetic Data,Henry M. Clever,image-generation,,,https://github.com/Healthcare-Robotics/bodies-at-rest,29
323,Zhou_DaST_Data-Free_Substitute_Training_for_Adversarial_Attacks_CVPR_2020_paper,DaST: Data-Free Substitute Training for Adversarial Attacks,Mingyi Zhou,,,,https://github.com/zhoumingyi/DaST,28
324,Li_Dynamic_Multiscale_Graph_Neural_Networks_for_3D_Skeleton_Based_Human_CVPR_2020_paper,Dynamic Multiscale Graph Neural Networks for 3D Skeleton Based Human Motion Prediction,Maosen Li,3d-human-pose-estimation,3d-pose-estimation,human-motion-prediction,https://github.com/limaosen0/DMGNN,28
325,Zhang_Fusion-Aware_Point_Convolution_for_Online_Semantic_3D_Scene_Segmentation_CVPR_2020_paper,Fusion-Aware Point Convolution for Online Semantic 3D Scene Segmentation,Jiazhao Zhang,scene-segmentation,,,https://github.com/jzhzhang/FusionAwareConv,28
326,Sigurdsson_Visual_Grounding_in_Video_for_Unsupervised_Word_Translation_CVPR_2020_paper,Visual Grounding in Video for Unsupervised Word Translation,Gunnar A. Sigurdsson,,,,https://github.com/gsig/visual-grounding,28
327,Wang_3DV_3D_Dynamic_Voxel_for_Action_Recognition_in_Depth_Video_CVPR_2020_paper,3DV: 3D Dynamic Voxel for Action Recognition in Depth Video,Yancheng Wang,3d-human-action-recognition,,,https://github.com/3huo/3DV-Action,28
328,Sun_ACNe_Attentive_Context_Normalization_for_Robust_Permutation-Equivariant_Learning_CVPR_2020_paper,ACNe: Attentive Context Normalization for Robust Permutation-Equivariant Learning,Weiwei Sun,pose-estimation,,,https://github.com/vcg-uvic/acne,27
329,Zhou_Learning_Saliency_Propagation_for_Semi-Supervised_Instance_Segmentation_CVPR_2020_paper,Learning Saliency Propagation for Semi-Supervised Instance Segmentation,Yanzhao Zhou,instance-segmentation,object-detection,semantic-segmentation,https://github.com/ucbdrive/ShapeProp,27
330,Li_Category-Level_Articulated_Object_Pose_Estimation_CVPR_2020_paper,Category-Level Articulated Object Pose Estimation,Xiaolong Li,pose-estimation,,,https://github.com/dragonlong/articulated-pose,27
331,Chen_A_Neural_Rendering_Framework_for_Free-Viewpoint_Relighting_CVPR_2020_paper,A Neural Rendering Framework for Free-Viewpoint Relighting,Zhang Chen,3d-reconstruction,image-generation,,https://github.com/LansburyCH/relightable-nr,27
332,Dong_Multi-Scale_Boosted_Dehazing_Network_With_Dense_Feature_Fusion_CVPR_2020_paper,Multi-Scale Boosted Dehazing Network With Dense Feature Fusion,Hang Dong,,,,https://github.com/BookerDeWitt/MSBDN-DFF,27
333,Yu_Semantic_Drift_Compensation_for_Class-Incremental_Learning_CVPR_2020_paper,Semantic Drift Compensation for Class-Incremental Learning,Lu Yu,,,,https://github.com/yulu0724/SDC-IL,26
334,Li_AutoTrack_Towards_High-Performance_Visual_Tracking_for_UAV_With_Automatic_Spatio-Temporal_CVPR_2020_paper,AutoTrack: Towards High-Performance Visual Tracking for UAV With Automatic Spatio-Temporal Regularization,Yiming Li,visual-tracking,,,https://github.com/vision4robotics/AutoTrack,26
335,Liu_Extremely_Dense_Point_Correspondences_Using_a_Learned_Feature_Descriptor_CVPR_2020_paper,Extremely Dense Point Correspondences Using a Learned Feature Descriptor,Xingtong Liu,3d-reconstruction,optical-flow-estimation,,https://github.com/lppllppl920/DenseDescriptorLearning-Pytorch,26
336,Yang_IntrA_3D_Intracranial_Aneurysm_Dataset_for_Deep_Learning_CVPR_2020_paper,IntrA: 3D Intracranial Aneurysm Dataset for Deep Learning,Xi Yang,,,,https://github.com/intra3d2019/IntrA,26
337,Wu_PQ-NET_A_Generative_Part_Seq2Seq_Network_for_3D_Shapes_CVPR_2020_paper,PQ-NET: A Generative Part Seq2Seq Network for 3D Shapes,Rundi Wu,3d-reconstruction,single-view-3d-reconstruction,,https://github.com/ChrisWu1997/PQ-NET,26
338,Wang_Dual_Super-Resolution_Learning_for_Semantic_Segmentation_CVPR_2020_paper,Dual Super-Resolution Learning for Semantic Segmentation,Li Wang,image-super-resolution,pose-estimation,semantic-segmentation,https://github.com/wanglixilinx/DSRL,25
339,Kim_Transfer_Learning_From_Synthetic_to_Real-Noise_Denoising_With_Adaptive_Instance_CVPR_2020_paper,Transfer Learning From Synthetic to Real-Noise Denoising With Adaptive Instance Normalization,Yoonsik Kim,denoising,transfer-learning,,https://github.com/terryoo/AINDNet,25
340,Eder_Tangent_Images_for_Mitigating_Spherical_Distortion_CVPR_2020_paper,Tangent Images for Mitigating Spherical Distortion,Marc Eder,,,,https://github.com/meder411/Tangent-Images,25
341,Cui_Gradually_Vanishing_Bridge_for_Adversarial_Domain_Adaptation_CVPR_2020_paper,Gradually Vanishing Bridge for Adversarial Domain Adaptation,Shuhao Cui,domain-adaptation,unsupervised-domain-adaptation,,https://github.com/cuishuhao/GVB,25
342,Berman_AOWS_Adaptive_and_Optimal_Network_Width_Search_With_Latency_Constraints_CVPR_2020_paper,AOWS: Adaptive and Optimal Network Width Search With Latency Constraints,Maxim Berman,architecture-search,,,https://github.com/bermanmaxim/AOWS,25
343,Mun_Local-Global_Video-Text_Interactions_for_Temporal_Grounding_CVPR_2020_paper,Local-Global Video-Text Interactions for Temporal Grounding,Jonghwan Mun,,,,https://github.com/JonghwanMun/LGI4temporalgrounding,25
344,Guo_AugFPN_Improving_Multi-Scale_Feature_Learning_for_Object_Detection_CVPR_2020_paper,AugFPN: Improving Multi-Scale Feature Learning for Object Detection,Chaoxu Guo,object-detection,,,https://github.com/Gus-Guo/AugFPN,25
345,Kulikov_Instance_Segmentation_of_Biological_Images_Using_Harmonic_Embeddings_CVPR_2020_paper,Instance Segmentation of Biological Images Using Harmonic Embeddings,Victor Kulikov,instance-segmentation,semantic-segmentation,,https://github.com/kulikovv/harmonic,24
346,Tran_Transform_and_Tell_Entity-Aware_News_Image_Captioning_CVPR_2020_paper,Transform and Tell: Entity-Aware News Image Captioning,Alasdair Tran,image-captioning,language-modelling,,https://github.com/alasdairtran/transform-and-tell,24
347,Zhou_More_Grounded_Image_Captioning_by_Distilling_Image-Text_Matching_Model_CVPR_2020_paper,More Grounded Image Captioning by Distilling Image-Text Matching Model,Yuanen Zhou,image-captioning,text-matching,,https://github.com/YuanEZhou/Grounded-Image-Captioning,24
348,Zhang_Fusing_Wearable_IMUs_With_Multi-View_Images_for_Human_Pose_Estimation_CVPR_2020_paper,Fusing Wearable IMUs With Multi-View Images for Human Pose Estimation: A Geometric Approach,Zhe Zhang,3d-absolute-human-pose-estimation,3d-human-pose-estimation,pose-estimation,https://github.com/CHUNYUWANG/imu-human-pose-pytorch,24
349,Wang_Semi-Supervised_Learning_for_Few-Shot_Image-to-Image_Translation_CVPR_2020_paper,Semi-Supervised Learning for Few-Shot Image-to-Image Translation,Yaxing Wang,few-shot-learning,image-to-image-translation,object-classification,https://github.com/yaxingwang/SEMIT,23
350,Jaritz_xMUDA_Cross-Modal_Unsupervised_Domain_Adaptation_for_3D_Semantic_Segmentation_CVPR_2020_paper,xMUDA: Cross-Modal Unsupervised Domain Adaptation for 3D Semantic Segmentation,Maximilian Jaritz,3d-semantic-segmentation,autonomous-driving,domain-adaptation,https://github.com/valeoai/xmuda,23
351,Corneanu_Computing_the_Testing_Error_Without_a_Testing_Set_CVPR_2020_paper,Computing the Testing Error Without a Testing Set,Ciprian A. Corneanu,causal-discovery,model-selection,,https://github.com/cipriancorneanu/dnn-topology,23
352,Yun_Regularizing_Class-Wise_Predictions_via_Self-Knowledge_Distillation_CVPR_2020_paper,Regularizing Class-Wise Predictions via Self-Knowledge Distillation,Sukmin Yun,calibration,image-classification,,https://github.com/alinlab/cs-kd,23
353,Weng_GNN3DMOT_Graph_Neural_Network_for_3D_Multi-Object_Tracking_With_2D-3D_CVPR_2020_paper,GNN3DMOT: Graph Neural Network for 3D Multi-Object Tracking With 2D-3D Multi-Feature Learning,Xinshuo Weng,3d-multi-object-tracking,multi-object-tracking,object-tracking,https://github.com/xinshuoweng/GNN3DMOT,22
354,Verelst_Dynamic_Convolutions_Exploiting_Spatial_Sparsity_for_Faster_Inference_CVPR_2020_paper,Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,Thomas Verelst,image-classification,pose-estimation,,https://github.com/thomasverelst/dynconv,22
355,Wang_Instance_Shadow_Detection_CVPR_2020_paper,Instance Shadow Detection,Tianyu Wang,shadow-detection,,,https://github.com/stevewongv/InstanceShadowDetection,22
356,Zhang_Interactive_Object_Segmentation_With_Inside-Outside_Guidance_CVPR_2020_paper,Interactive Object Segmentation With Inside-Outside Guidance,Shiyin Zhang,instance-segmentation,semantic-segmentation,,https://github.com/shiyinzhang/Inside-Outside-Guidance,22
357,Li_Recurrent_Feature_Reasoning_for_Image_Inpainting_CVPR_2020_paper,Recurrent Feature Reasoning for Image Inpainting,Jingyuan Li,image-inpainting,,,https://github.com/jingyuanli001/RFR-Inpainting,22
358,Mo_StructEdit_Learning_Structural_Shape_Variations_CVPR_2020_paper,StructEdit: Learning Structural Shape Variations,Kaichun Mo,,,,https://github.com/daerduoCarey/structedit,22
359,Xu_Weakly_Supervised_Semantic_Point_Cloud_Segmentation_Towards_10x_Fewer_Labels_CVPR_2020_paper,Weakly Supervised Semantic Point Cloud Segmentation: Towards 10x Fewer Labels,Xun Xu,,,,https://github.com/alex-xun-xu/WeakSupPointCloudSeg,22
360,Yan_Cooling-Shrinking_Attack_Blinding_the_Tracker_With_Imperceptible_Noises_CVPR_2020_paper,Cooling-Shrinking Attack: Blinding the Tracker With Imperceptible Noises,Bin Yan,adversarial-attack,,,https://github.com/MasterBin-IIAU/CSA,22
