,title,author,task 1,task 2,task 3,github,stars
173,Learning From Synthetic Animals,Jiteng Mu,edge-detection,object-detection,synthetic-data-generation,https://github.com/JitengMu/Learning-from-Synthetic-Animals,12
174,Semantic Image Manipulation Using Scene Graphs,Helisa Dhamo,image-generation,layout-to-image-generation,,https://github.com/he-dhamo/simsg,9
175,MetaIQA: Deep Meta-Learning for No-Reference Image Quality Assessment,Hancheng Zhu,image-quality-assessment,meta-learning,no-reference-image-quality-assessment,https://github.com/zhuhancheng/MetaIQA,9
176,Background Matting: The World Is Your Green Screen,Soumyadip Sengupta,image-matting,,,https://github.com/senguptaumd/Background-Matting,3211
177,EfficientDet: Scalable and Efficient Object Detection,Mingxing Tan,object-detection,object-detection-in-aerial-images,pedestrian-detection,https://github.com/zylo117/Yet-Another-EfficientDet-Pytorch,3441
178,Context R-CNN: Long Term Temporal Context for Per-Camera Object Detection,Sara Beery,object-detection,video-understanding,,https://github.com/tensorflow/models/tree/master/research/object_detection,64576
179,An Adaptive Neural Network for Unsupervised Mosaic Consistency Analysis in Image Forensics,Quentin Bammey,demosaicking,image-forensics,,https://github.com/qbammey/adaptive_cfa_forensics,0
180,Perceptual Quality Assessment of Smartphone Photography,Yuming Fang,blind-image-quality-assessment,image-quality-assessment,,https://github.com/h4nwei/SPAQ,5
181,ViewAL: Active Learning With Viewpoint Entropy for Semantic Segmentation,Yawar Siddiqui,active-learning,semantic-segmentation,,https://github.com/nihalsid/ViewAL,42
182,Deep Active Learning for Biased Datasets via Fisher Kernel Self-Supervision,Denis Gudovskiy,active-learning,,,https://github.com/gudovskiy/al-fk-self-supervision,8
183,Learning for Video Compression With Hierarchical Quality and Recurrent Enhancement,Ren Yang,image-compression,video-compression,,https://github.com/RenYang-home/HLVC,30
184,NAS-FCOS: Fast Neural Architecture Search for Object Detection,Ning Wang,architecture-search,object-detection,,https://github.com/Lausannen/NAS-FCOS,135
185,Rethinking Performance Estimation in Neural Architecture Search,Xiawu Zheng,architecture-search,,,https://github.com/zhengxiawu/rethinking_performance_estimation_in_NAS,115
186,CARS: Continuous Evolution for Efficient Neural Architecture Search,Zhaohui Yang,architecture-search,,,https://github.com/huawei-noah/CARS,89
187,Block-Wisely Supervised Neural Architecture Search With Knowledge Distillation,Changlin Li,architecture-search,,,https://github.com/changlin31/DNA,85
188,DSNAS: Direct Neural Architecture Search Without Parameter Retraining,Shoukang Hu,architecture-search,,,https://github.com/SNAS-Series/SNAS-Series,56
189,When NAS Meets Robustness: In Search of Robust Architectures Against Adversarial Attacks,Minghao Guo,architecture-search,,,https://github.com/gmh14/RobNets,36
190,AOWS: Adaptive and Optimal Network Width Search With Latency Constraints,Maxim Berman,architecture-search,,,https://github.com/bermanmaxim/AOWS,25
191,Butterfly Transform: An Efficient FFT Based Neural Architecture Design,Keivan Alizadeh vahid,architecture-search,,,https://github.com/keivanalizadeh/ButterflyTransform,6
192,SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization,Xianzhi Du,instance-segmentation,architecture-search,object-detection,https://github.com/tensorflow/tpu/tree/master/models/official/detection,3585
193,GAN Compression: Efficient Architectures for Interactive Conditional GANs,Muyang Li,image-generation,architecture-search,,https://github.com/mit-han-lab/gan-compression,551
194,AdversarialNAS: Adversarial Neural Architecture Search for GANs,Chen Gao,image-generation,architecture-search,,https://github.com/chengaopro/AdversarialNAS,16
195,MiLeNAS: Efficient Neural Architecture Search via Mixed-Level Reformulation,Chaoyang He,bilevel-optimization,architecture-search,,https://github.com/chaoyanghe/MiLeNAS,14
196,Searching Central Difference Convolutional Networks for Face Anti-Spoofing,Zitong Yu,face-anti-spoofing,face-recognition,architecture-search,https://github.com/ZitongYu/CDCN,171
197,HRank: Filter Pruning Using High-Rank Feature Map,Mingbao Lin,network-pruning,,,https://github.com/lmbxmu/HRank,81
198,Dreaming to Distill: Data-Free Knowledge Transfer via DeepInversion,Hongxu Yin,continual-learning,network-pruning,transfer-learning,https://github.com/NVlabs/DeepInversion,136
199,Towards Efficient Model Compression via Learned Global Ranking,Ting-Wu Chin,model-compression,,,https://github.com/cmu-enyac/LeGR,60
200,Learning to Structure an Image With Few Colors,Yunzhong Hou,image-compression,quantization,,https://github.com/hou-yz/color_distillation,16
201,Learning Better Lossless Compression Using Lossy Compression,Fabian Mentzer,image-compression,,,https://github.com/fab-jul/RC-PyTorch,5
202,Forward and Backward Information Retention for Accurate Binary Neural Networks,Haotong Qin,neural-network-compression,quantization,,https://github.com/JDAI-CV/dabnn,623
